MeterID,Description,Units,Resource,BuildingID,BuildingName,GrossSquareFeet,BuildDate,Latitude,Longitude,Campus,Organization,LocationType,SteamSourceID,ChilledWaterSourceID,HotWaterSourceID
OSU_RTS.MDBUS_RT.161S_HF,OHIO UNION HEAT FLOW,KBTU/HR,Steam,161,Ohio Union,317694.0,2010-07-01,39.99766,-83.00864,Main,SDL,Student Housing,69,69,69
OSU_RTS.MDBUS_RT.163S_HF,TZAGOURNIS STM HEAT FLOW,KBTU/HR,Steam,163,"Tzagournis, Manuel, Medical Research Facilty",80417.0,1994-10-01,,,Medical Center,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_C1.017_HF,KNOWLTON CW HEAT FLOW,KBTU/HR,Chilled Water ,17,"Knowlton, Austin E, Hall",174422.0,2004-07-01,40.0036,-83.01679,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.017S_HF,KNOWTON STM HEAT FLOW,KBTU/HR,Steam,17,"Knowlton, Austin E, Hall",174422.0,2004-07-01,40.0036,-83.01679,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.176S_HF,STAR/LOVE ST HEAT FLOW,KBTU/HR,Steam,176,Starling Loving Hall,149403.0,1917-06-01,39.99493,-83.01602,Medical Center,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_C1.018_HF,CAMPBELL CW HEAT FLOW,KBTU/HR,Chilled Water ,18,"Campbell, Elizabeth Owens, Hall",115368.0,1916-07-01,39.99776,-83.01582,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.018S_HF,CAMPBELL STM HEAT FLOW,KBTU/HR,Steam,18,"Campbell, Elizabeth Owens, Hall",115368.0,1916-07-01,39.99776,-83.01582,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_C1.180_HF,GOSS CW HEAT FLOW,KBTU/HR,Chilled Water ,180,"Goss, Leonard W, Laboratory",67943.0,1962-07-01,40.0,-83.02755,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_C1.180B_HF,GOSS BYPASS CW HEAT FLOW,KBTU/HR,Chilled Water ,180,"Goss, Leonard W, Laboratory",67943.0,1962-07-01,40.0,-83.02755,Main,ACA,Academic/Research,69,69,69
OSU_RTS.MDBUS_H1.187_HHF,MATH BLD HW HEAT FLOW,KBTU/HR,Heating Hot Water,187,Mathematics Building,28893.0,1962-07-01,40.00148,-83.01476,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_C1.187_HF,MATH BLDG CW HEAT FLOW,KBTU/HR,Chilled Water ,187,Mathematics Building,28893.0,1962-07-01,40.00148,-83.01476,Main,ACA,Academic,69,69,69
OSU_RTS.MDBUS_RT.229S_HF,ICE RINK STM HEAT FLOW,KBTU/HR,Steam,229,Ice Rink,34005.0,1961-07-01,,,Main,ATH,Athletics,69,69,69
OSU_RTS.MDBUS_C1.246_3HF,PAES CW HEAT FLOW,KBTU/HR,Chilled Water ,245,Physical Activity and Education Services - PAES,163899.0,2007-07-01,39.99983,-83.01724,Main,ACA,Academic,,,
OSU_RTS.MDBUS_RT.245S_HF,PAES ST HEAT FLOW,KBTU/HR,Steam,245,Physical Activity and Education Services - PAES,163899.0,2007-07-01,39.99983,-83.01724,Main,ACA,Academic,,,
OSU_RTS.MDBUS_H1.246_15HF,PAES HW HEAT FLOW,KBTU/HR,Heating Hot Water,245,Physical Activity and Education Services - PAES,163899.0,2007-07-01,39.99983,-83.01724,Main,ACA,Academic,,,
OSU_RTS.MDBUS_CC.246_4HF,RPAC CALC CW HEAT FLOW,KBTU/HR,Chilled Water ,246,Recreation and Physical Activity Center,279848.0,2005-07-01,39.99951,-83.01838,Main,SDL,Student Housing,69,69,69
OSU_RTS.MDBUS_C1.246_2HF,RPAC M2 CW HEAT FLOW,KBTU/HR,Chilled Water ,246,Recreation and Physical Activity Center,279848.0,2005-07-01,39.99951,-83.01838,Main,SDL,Student Housing,69,69,69
OSU_RTS.MDBUS_H1.246_H4HF,RPAC M4 HW HEAT FLOW,KBTU/HR,Heating Hot Water,246,Recreation and Physical Activity Center,279848.0,2005-07-01,39.99951,-83.01838,Main,SDL,Student Housing,69,69,69
OSU_RTS.MDBUS_H1.246_H5HF,RPAC M5 HW HEAT FLOW,KBTU/HR,Heating Hot Water,246,Recreation and Physical Activity Center,279848.0,2005-07-01,39.99951,-83.01838,Main,SDL,Student Housing,69,69,69
OSU_RTS.MDBUS_H1.246_H6HF,RPAC M6 HW HEAT FLOW,KBTU/HR,Heating Hot Water,246,Recreation and Physical Activity Center,279848.0,2005-07-01,39.99951,-83.01838,Main,SDL,Student Housing,69,69,69
OSU_RTS.MDBUS_RT.246S_HF,RPAC STM HEAT FLOW,KBTU/HR,Steam,246,Recreation and Physical Activity Center,279848.0,2005-07-01,39.99951,-83.01838,Main,SDL,Student Housing,69,69,69
